submission_ref,name,public_score,private_score
54797919,s332_incumbent_dual_oof_730220,0.95245,0.95020
54797936,s333_incumbent_dual_oof_926246,0.95245,0.95020
54797958,s334_incumbent_dual_oof_818257,0.95245,0.95020
54797979,s335_incumbent_dual_oof_878268,0.95238,0.95020
54797996,s336_incumbent_dual_oof_891394,0.95246,0.95020
54819400,s337_incumbent_oof_917214,0.95246,0.95020
54819425,s338_incumbent_oof_802648,0.95246,0.95020
54819442,s339_incumbent_oof_884567,0.95246,0.95022
54819583,s340_incumbent_oof_906616,0.95246,0.95020
54819603,s341_incumbent_oof_720890,0.95246,0.95020
54819624,s342_incumbent_oof_819218,0.95245,0.95020
54819636,s343_incumbent_oof_921756,0.95246,0.95020
54819660,s344_incumbent_oof_692753,0.95246,0.95020
54819673,s345_incumbent_oof_807652,0.95246,0.95020
54819697,s346_incumbent_oof_697976,0.95246,0.95020
54843613,s347_joseph_compact_95256,0.95256,0.95019
54843742,s348_joseph_oof_977522,0.95256,0.95018
54843768,s349_joseph_oof_781762,0.95256,0.95019
54843813,s350_joseph_oof_774408,0.95256,0.95018
54843835,s351_joseph_oof_704352,0.95256,0.95019
54843854,s352_joseph_oof_812959,0.95256,0.95019
54843875,s353_joseph_oof_854107,0.95256,0.95019
54843890,s354_joseph_oof_764995,0.95256,0.95018
54843915,s355_joseph_oof_798390,0.95256,0.95019
54843942,s356_joseph_oof_691680,0.95256,0.95018
54865470,s357_joseph_oof_946774,0.95256,0.95019
54865513,s358_joseph_oof_848796,0.95256,0.95019
54865632,s359_joseph_oof_819332,0.95256,0.95018
54865663,s360_joseph_oof_782920,0.95256,0.95016
54865701,s361_joseph_oof_864876,0.95256,0.95018
54865734,s362_joseph_oof_721986,0.95256,0.95019
54865771,s363_joseph_oof_928152,0.95256,0.95018
54865798,s364_joseph_oof_920611,0.95256,0.95019
54865820,s365_joseph_oof_947182,0.95256,0.95018
54865846,s366_joseph_oof_771692,0.95256,0.95019
54891608,s367_oof_bundle_bundle_714159_891801_732124,0.95256,0.95018
54891628,s368_oof_bundle_bundle_765608_734903_833867,0.95256,0.95019
54891643,s369_oof_bundle_bundle_714159_891801_732124_765608,0.95256,0.95018
54891661,s370_oof_bundle_bundle_732124_765608_734903_833867,0.95256,0.95018
54891692,s371_oof_bundle_bundle_714159_891801_732124_765608_734903,0.95256,0.95018
54891714,s372_oof_bundle_bundle_714159_891801_765608_734903_833867,0.95256,0.95018
